data,variable,ae,np
2021-05-20,prec,0,2.04
2021-05-21,tmed,17.9521739130435,18.9
2021-05-21,ur,76.0434782608696,81.69
2021-05-21,tmin,14.4,13.87
2021-05-21,tmax,25.5,26.88
2021-05-21,prec,18.8,26.77
2021-05-22,tmed,16.4166666666667,16.07
2021-05-22,ur,88.5416666666667,81.38
2021-05-22,tmin,13.5,8.39
2021-05-22,tmax,17.8,20.8
2021-05-22,prec,18.4,6.97
2021-05-23,tmed,11.4791666666667,11.4
2021-05-23,ur,75.0833333333333,75.19
2021-05-23,tmin,7.7,6.02
2021-05-23,tmax,15.4,17.55
2021-05-23,prec,0,0.07
2021-05-24,tmed,9.50416666666667,11.11
2021-05-24,ur,80.5833333333333,76
2021-05-24,tmin,6.3,6.81
2021-05-24,tmax,14.1,17.05
2021-05-24,prec,0,0.73
2021-05-25,tmed,9.65,11.65
2021-05-25,ur,81.6666666666667,70.5
